,User,Tweet
0,EricHazard,RT @vested: Rising #MortgageRates aren't the only factor impacting the housing market. Vested Chief Economist @MiltonEzrati explores market…
1,90percenters,"RT @RichardJMurphy: A fall in the value of the pound impacts everything we buy from abroad. That includes gas, petrol and more than half ou…"
2,olisalignac2,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
3,joni_koskimaa,"@evan_van_ness I'm gonna ELI5 it to you.

You know how rewards come from inflation?

If you don't get rewards, you're not keeping up with the expanding supply. That is, you _lose value_.

It's does the job of slashing, without stuff like lockups &amp; minimum stake that incentivize centralization."
4,TokyoSanctuary,RT @ReutersJapanBiz: 米経済「軟着陸可能」、物価への向かい風は存在＝財務副長官 https://t.co/RUXx0h767Z https://t.co/0i3pUDoy84
5,c28tim,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
6,me2buck,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
7,Dhochlaf,"Still not clear that wages will rise faster than inflation, so real earnings will continue to fall. Plus lots of people without assets at facing a brutal private rented market, making it impossible to save for a deposit"
8,RealWIPatriot1,"@DickesonKathy Hmmm to get our country out of this downward death spiral and bring back personal responsibility, law and order, no boys in the girls bathroom, schools for teaching rather than indoctrination, tame inflation, bring back record employment for minorities, etc etc."
9,Organic_Only,RT @johnredwood: So the IMF and some big foreign investment banks and funds do not want the UK to be more competitive with lower taxes. I d…
10,CancelTheGOP1,"RT @77SunnyAndClear: @SenJohnKennedy Louisiana ranks among the Top 10 of the worst economic and social categories⤵️ 
—Most Dangerous
—Poore…"
11,Aaakott,"RT @kuttrapali26: Inflation Is when you pay 500 Rs
for the 100 Rs haircut, which You used to get for 50 Rs when You had hair"
12,Thor_Delbarto,"RT @Reconquete_Actu: Le salaire d'Ursula von der Leyen était de 29.205€/mois. Il a été augmenté de 8,5% en juillet pour compenser l'inflati…"
13,HarmlessYardDog,"RT @GeorgeGammon: Notice how she says “the sabotage action” and not “the alleged sabotage action.”

I don’t care how much you hate Russia/P…"
14,AshiyaSolih,"RT @McKinsey: Inflation has altered the economic mood, and potentially reset the path of global and national economies worldwide for many y…"
15,duonghieutong,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
16,devonmwillamson,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
17,unetomaterouge,RT @RBReich: Since March I’ve been screaming about the Fed’s total misreading of inflation and how increasing interest rates to combat risi…
18,miraray11789841,"RT @MRFRresearch: #Energy Crisis, High #Inflation, and a Slipping #European #economy: https://t.co/o1NxZpABRZ

#EnergyCrisis #EuropeanEcono…"
19,Michelle4Peace,"@GOPChairwoman You and I both know inflation is global. Joe Biden isn't responsible for the world. Get a clue, Ronna."
20,Oilgeo1,"RT @cade_carter1: @clintbarnette ""Oilfield service inflation has increased, uncertainty has increased and oil prices have decreased. This i…"
21,vavrek_james,"RT @ActionDemocrat: Inflation as Republicans love to call it

Is the unavoidable sum of 4 decades of GOP
top down economics that have kille…"
22,auksisam,"RT @laurenboebert: Around 70% of Americans are searching for extra work due to inflation.

Get ready for Biden to tout this as “job creatio…"
23,RevBlackNetwork,"RT @anthonyzenkus: When you factor in inflation, real wages have gone down EVERY MONTH since April 2021. The Biden economy is a disaster."
24,ajju_2001,"🇺🇦#ukraine is destroyed in #RussianUkrainianWar 

💷#Europe is being fed to #inflation grinder
Due to provocations and #sanctions by 🇪🇺E.U. And #NATO 

💵U.S. will not stop untill,
Whole wheat 💷not exhausts
 Only beneficiary is 💵 🦅 https://t.co/1YbQhrDpDw"
25,OdunolaOgedeng1,"RT @akintollgate: ""Toxic label used on #Obidients is a cheap attempt to mischaracterize a group of patriotic Nigerians. High unemployment,…"
26,TomerHacohen,"Also,
Inflation rates should stabilize between 4%-5% in the next 6 months.
2% the fed wants is a pipe dream and a too much aggressive target for these times."
27,90percenters,"RT @RichardJMurphy: What’s the impact? The pound may fall no further. Even so, the fall we’ve seen might wipe out many of the gains on infl…"
28,Paden1985,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
29,LindaA48532658,RT @RyanPinesworth: Republicans weren’t worried about inflation when their PPP loans were being forgiven and they received their tax-breaks…
30,IreneSa78698091,RT @levinepmc: Despite all evidence to the contrary economically-challenged @theJagmeetSingh continues to rail against grocers as the cause…
31,Thed1961,"RT @PeterSchiff: The Bank of England has already pivoted. As collapsing #bond prices and rising rates threatened a financial crisis, the BO…"
32,RobMcLondon,@r0513t @MatthewStadlen Ah yes and upper rate taxation is of course the standard tool of managing inflation… 🙄
33,Joris_T_H,@ARAZHus56576372 They will help russia to lower their inflation rate....
34,IGI63962891,"@RhonddaBryant The pound is crashing because of a very strong Dollar and the 1p tax cut. A policy Labour agree with. Neither party is dealing with the debt/inflation. 

Don't be fooled Labour say they will invest which basically means borrow more."
35,TraderMarcoCost,"$QQQ PIMCO CIO SAYS WE THINK INFLATION HAS LIKELY PEAKED, OR ABOUT TO PEAK FROM CORE PERSPECTIVE

#PIMCO CIO SAYS WE THINK WE'LL BEGIN TO SEE INFLATION TREND LOWER"
36,Tatsumi_On,RT @srm_tr: Les 100€ de l’inflation ils sont où s’il vous plaît ? Le crous ? L’état ? Allo ?? https://t.co/p0zN4ervOo
37,nrgJeff,@financialjuice Inflation was also transitory.
38,depie_mark,RT @prokaliptika1: 📸 Ο πληθωρισμός οδηγεί στον Παράδεισο #inflation https://t.co/lVyG9i5aUp
39,JamesBradleyCA,"RT @lavern_spicer: Biden: In 42 days, democracy is on the ballot.

No FOOL!

Crime is on the ballot.

Inflation is on the ballot.

Open bor…"
40,IShopinWales,"@business_owen  turkey is on the brink of collapse.  Inflation running at 80%+ along with the backdrop of the US and EU not liking turkey's relationship with Russia. 
Turmoil within NATO with Turkey not backing action."
41,salepoivron,RT @srm_tr: Les 100€ de l’inflation ils sont où s’il vous plaît ? Le crous ? L’état ? Allo ?? https://t.co/p0zN4ervOo
42,Grind8Mike,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
43,abdar1992,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
44,CanalOblik,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
45,Javitoarroba,"High inflation ramping , financial system tumbling, next is banknotes"
46,Stephen06388594,RT @johnredwood: So the IMF and some big foreign investment banks and funds do not want the UK to be more competitive with lower taxes. I d…
47,luaradel,"RT @BernieSpofforth: The conspiracy theorists who warned you about 

▪️mandates
▪️vaccine passports
▪️Perpetual lockdowns
▪️uncontrolled in…"
48,p_sarankorn,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
49,OptimisticVoter,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
50,jeffgoldesq,@DrOz Yeah Fetterman supports inflation reduction!
51,NyashaGoonMadri,"RT @advocatemahere: A random truck of bricks is your idea of progress? Never mind lack of ZESA, 49% extreme poverty, triple digit hyperinfl…"
52,Txurin1965,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
53,Jungle_View,"RT @htTweets: Videos of the debates have been widely shared on social media asking #RishiSunak to come back.

In one such video, Sunak is h…"
54,SandyWB14,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
55,camcath,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
56,btcecho,🚨 #News: Anleger tauschen ihre #Euro (EUR) &amp; #PoundSterling (GBP) Bestände wegen des anhaltenden Wertverlustes aktuell massiv gegen #Bitcoin ein. #btc #blockchain #krypto #Kryptowaehrung #bearmarket2022 #inflation #Currencies #Bullish 🧐💪🐂 https://t.co/WA705g2WYR
57,NAMAtheGrandma,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
58,dwstirl,RT @KoonsKarl: The R's actually have a plan to fight inflation? No they don't. Inflation pleases them. They don't want solutions. They want…
59,malc_hill,"@griff9of13 @drydenfoster @LordAshcroft @Keir_Starmer March 74 Labour took over they won more seats but less overall votes.
It came after the miners' strike, Tory Govt was unprepared. Labour came to power and gave miners a 35% increase which became the yardstick for every pay claim and the rest is history and 26%inflation in 1976."
60,ChadBritt2010,@POTUS And WHY can’t parents feed their children Mr RETARD?   Could it possibly have something to do with your tyrannical actions that let to the inflation we’re going through? 🤔
61,billmcgew,"RT @laurenboebert: Around 70% of Americans are searching for extra work due to inflation.

Get ready for Biden to tout this as “job creatio…"
62,CroMaxi1984,RT @Beatrix_vStorch: Ihr könnt unsere Geschäftsstelle durchsuchen. Ihr könnt uns mit dem VS verfolgen. Ihr könnt alle Bürger kriminalisiere…
63,SukhSinghCrypto,"@Ian_G022 @AndrewMale19 @Bartsimpsonhead @sophielouisecc Holy fk-a-duck BatMan, you really are thick! The proportionality, plus house-inflation etc make a 3% mortgage rate similar to a 15% rate you had in the 90s, now if they as predixcted they are to go to 6%, we are in great big trouble, bookmark this for later mate...!"
64,ThomasL78402071,"@DickesonKathy Freedom from lockdowns, criminals free to walk the streets, border open to all, fentanyl killing Americans, excess government spending driving inflation, a week demented leader causing war and unrest around the world, energy policy weakening America, FBI targeting concerned moms"
65,SankaraZW,"RT @advocatemahere: A random truck of bricks is your idea of progress? Never mind lack of ZESA, 49% extreme poverty, triple digit hyperinfl…"
66,TommiNuutinen2,"@RepTroyNehls Don't you know how economy works? You should really look for exa,ple how inflation works before you shout here how policy, which brings huge boost to consumer wealth, is somehow ""expensive"" to USA. While at the same time thinking that 2 TRILLION tax cut for rich ppl is just a-ok."
67,AdamLBTaylor,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
68,woodroof_ld,"RT @laurenboebert: The so-called ""Inflation Reduction Act"" needs to be repealed when Republicans take back the House."
69,minmyatnaing13,"RT @uscb: After the February #coup, international sanctions and “elevated levels of conflict,” #Burma is facing an economic crisis of soari…"
70,maggieallen47,RT @SenWarren: The Inflation Reduction Act is the first time in years that Big Pharma has lost in a battle to be able to keep raising the c…
71,EDGARDOGARCIASA,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
72,Dma102077,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
73,mikeopseu,"RT @TomPark1n: Poilievre is showing who supports working class Canadians by 

- voting against dentalcare for their kids
- delaying votes o…"
74,Daniel51495076,"@TMurrayKent @Shelter @MartinSLewis What else can ""the government needs to take responsibility and act now"" mean?
What will the government do? Additionally stimulus? (which will just feed inflation)
We keep asking our government for short term fixes that lead to long term problems."
75,mailtomuraya,"RT @McKinsey: Simple definitions of #inflation won't tell you what causes it, how it affects consumers, and how businesses can adapt. Go be…"
76,Vishi_Divine,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
77,Leftwords,"The Financial Accountability Office: ""average salary growth for Ontario Public Sector employees is projected to significantly lag behind inflation, resulting in a cumulative 11.3% decline in real wages over 3 years.""

And yet somehow Ford has a healthcare staffing crisis."
78,LeeMacarthur,"RT @Haggis_UK: Liz Truss can't say she wasn't warned that her plan was a fairy tale. 

Rishi Sunak(former Chancellor) - ""We have to be hone…"
79,NickOZuchthaus,"RT @caitoz: The west has blamed Russia for bad presidents, for western racism, for western political divisions, for inflation, for pretty m…"
80,_teexldn,"RT @nadinebh_: Liz Truss, 25 July 2022, when warned by Rishi Sunak that her plans would make inflation worse and mortgage rates soar and lo…"
81,CEJUJOECOLE,"RT @akintollgate: ""Toxic label used on #Obidients is a cheap attempt to mischaracterize a group of patriotic Nigerians. High unemployment,…"
82,judytaylor4,"RT @EthanResists: Without President Biden we wouldn't have the American Rescue Plan, the Chips Law, the Inflation Reduction Act, the PACT A…"
83,villagefool13,RT @CalltoActivism: THIS NEEDS TO BE EVERYWHERE: Congressional Republicans’ wish to REPEAL the Inflation Reduction Act after the midterms a…
84,Corn06803329,"RT @unusual_whales: Yesterday, Yellen has said I don't see any erratic financial market conditions.

She has also made numerous comments ab…"
85,LangridgeWendi,RT @johnredwood: So the IMF and some big foreign investment banks and funds do not want the UK to be more competitive with lower taxes. I d…
86,_thelullz,"RT @KumarNa31333787: @EccentricFella @ArunAkil12 @ANI Congress are governing in rajasthan ,there highest inflation, unemployment, rape, cri…"
87,Ang72176053,"RT @lewis_goodall: NEW: Statement from IMF on UK, a pretty clear rebuke to Friday: “We’re closely monitoring recent economic developments i…"
88,jonidesv,"RT @MichaelAntonF: Juste un petit rappel que le meilleur livre jamais écrit sur l'argent, l'inflation et les manigances diaboliques des ban…"
89,MGSoule,"RT @AlecStapp: ""The analysis (by @JesseJenkins) found that if the US builds out transmission lines at the pace of the past 10 years (a glac…"
90,NoCakeLeft,"RT @nadinebh_: Liz Truss, 25 July 2022, when warned by Rishi Sunak that her plans would make inflation worse and mortgage rates soar and lo…"
91,jnbutlerart,"RT @SandyPugGames: Every line of this article is somehow worse than the last
https://t.co/qXAIPSu0gj"
92,211bat,"RT @RNCResearch: Joe Biden falsely claims the so-called ""Inflation Reduction Act"" will reduce inflation.

Over 230 economists wrote that th…"
93,Bryncadnocobs,"RT @BrugesGroup: John Redwood is correct. The IMF is an advocate of policies which have, on a global scale, produced stagnation and inflati…"
94,MarilynShortall,"RT @KrissyHolmes: Here's a cool new tool: the inflation calculator!
https://t.co/hF5KVZxcOi
It gives you a personalized look at how YOUR co…"
95,econophysics_kr,"RT @carlquintanilla: * PIMCO CIO SAYS WE THINK INFLATION HAS LIKELY PEAKED, OR ABOUT TO PEAK FROM CORE PERSPECTIVE

* PIMCO CIO SAYS WE THI…"
96,MANotiK1,"@CryptoWolfcom @JakPot_Toxit @PROJECTXENO_GLB What is your anti-inflation in the game and How can this game sustainable in the long run ? Other games are hype in the beginning but in the long run they fail to maintain their in-game economy leading to inflation and fail to make game more interesting."""
97,HobanGirl,Is the UK in a recession? How central banks decide and why it's so hard to call it | Base rates are at their highest since the 2007-2008 global financial crisis. More hikes are expected as the Bank attempts to bring soaring inflation back to its 2% target. https://t.co/qeS6MAjuuo
98,PEYRATMargueri1,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
99,FrDnkr,RT @Beatrix_vStorch: Ihr könnt unsere Geschäftsstelle durchsuchen. Ihr könnt uns mit dem VS verfolgen. Ihr könnt alle Bürger kriminalisiere…
100,90percenters,RT @RichardJMurphy: We now know from the Governor and Chief Economist of the Bank that it will take whatever steps are necessary to control…
101,AudreyNGoodson,"RT @rmc031: Schools are open, Covid rules are lifted, more workers are going to the office. But our country's childcare system never recove…"
102,AToddlerTantrum,"@Chasing_the_dr I feel like if you're taking out a 100 year mortgage, then paying it off early isn't a reality for most. Inflation, unregulated finance, unsustainable housing costs. I don't think they are still a practice, but it was back in the 80's and 90's."
103,FungiblePleb,@mithcoons $800 -&gt; $1000 … inflation bro
104,walterpositive0,"RT @noubiaz: Où sont les 100€ pour lutter contre l’inflation svp ? 
Le crous https://t.co/di2OE7ltpd"
105,TonyAlf41114813,RT @CalltoActivism: THIS NEEDS TO BE EVERYWHERE: Congressional Republicans’ wish to REPEAL the Inflation Reduction Act after the midterms a…
106,DrKpfarr11,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
107,lanita_darden,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
108,JoelAni20,"RT @akintollgate: ""Toxic label used on #Obidients is a cheap attempt to mischaracterize a group of patriotic Nigerians. High unemployment,…"
109,SocLumberjack,"In a disturbing example, the presenters mentioned that infrastructure investment actually benefits under inflation. They stated that if you own food production, inflation (meaning increasing in-affordability of food) BENEFITS you."
110,swlib,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
111,LisbethFarnum1,"RT @SenWhitehouse: Go, @SecYellen!  One of the strongest climate voices in the Biden administration, and well supported by warnings from ce…"
112,ErinSabol3,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
113,Crystalgirl991,RT @foxbudsir: Central banks trying to stop inflation: https://t.co/inTBJXrAj1
114,Sedibus_MCML,"RT @MayaguezNY: Oil companies are using the same strategy they used against the Jimmy Carter administration.

They fueled inflation and bla…"
115,Strauss11Harry,"RT @DrOz: John Fetterman supports the Inflation Reduction Act that would have “no meaningful effect” on reducing inflation, but creates 87,…"
116,PowerPensioner,"@SuuperSerious @DaveYates86 @VFreedoms The 60s and 70s saw increasing unemployment, a stagnating economy and rising high inflation the result of which was going cap on hand to the IMF for a £4 billion bail out loan to save the economy.
Opening up to the outside world helped kick start the economy not stagnate it."
117,GeorgeGammon,"Notice how she says “the sabotage action” and not “the alleged sabotage action.”

I don’t care how much you hate Russia/Putin, and maybe it’s justified, but you can’t trust these people.

They lied about Covid, they lied about inflation, why wouldn’t they lie about Russia?"
118,MazRainbow9,"RT @ChrisGiles_: Liz Truss in leadership campaign on QE: ""some of the inflation has been caused by increases in the money supply""

Liz Trus…"
119,MossMo73587541,"RT @MossMo73587541: @robreiner The Party of➡️Defund The Police,Bail Reform,Restorative Justice,Prisoner Releases,16 Year Old Voting Rights,…"
120,followinmyfave,@ThaRealNoName @niccoyat Your take is extremely weird. It’s been known that most stylist today have taken advantage and now charge the most for a basic press and curl. I get it inflation is high but it’s been proven through countless tweets how stylist take advantage (1/2h
121,revemv_,RT @srm_tr: Les 100€ de l’inflation ils sont où s’il vous plaît ? Le crous ? L’état ? Allo ?? https://t.co/p0zN4ervOo
122,cannonbalkid,"RT @AntonioTweets2: Justin Trudeau has banned the word ""Justinflation"" in the House of Commons because he finds it offensive. 😂

Of course…"
123,ANON_WZY,Meiner Meinung nach hat die USA der ganzen Welt Krieg erklärt seitdem sie den Wettbewerb der Fiat-Währungen 1971 gestartet haben. (Minimale Inflation + Maximaler Wirtschaftswachstum) https://t.co/8S4Dd7RuVq
124,LondonLovesBiz,"RT @MilstedLangdon: Are you a new #business owner? 💼

According to @Growthdeck, there were 808,000 new businesses created in the UK in the…"
125,label59210,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
126,LeeStev38025092,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
127,GrahamStephan,"The S&amp;P500 is ~25% down from its all-time high.

Mortgage rates are at an astronomic 7%! 

One Man - With an almost impossible job : Can Powell and the Fed bring down inflation without a Recession👇  

https://t.co/Yh9KJneDmH"
128,RIPERoadmap,"Did you catch our deep-dive analysis on the Inflation Reduction Act? We also covered the 2023 Farm Bill, and what what both mean for producers and RIPE supporters. Subscribe now to stay informed! https://t.co/Ppyljtpckw https://t.co/0R7OcmyHZO"
129,EconomicsKn,"RT @rethinkecon: ""not only might the inflation rate be insensitive to falling aggregate demand, but sharp and persistent increases in inter…"
130,njlinedog,"RT @POTUS: Because of the Inflation Reduction Act, Medicare will finally have the power to negotiate lower prescription drug prices. 

Seni…"
131,andyjd23,"@BBCNews Let’s be honest. Inflation was a run away train before Friday and that announcement has done nothing to stop it. The only weapon against it is to raise interest rates to (or slightly above) normal levels. 

So in a word - YES. Not sure it needs 15 articles 😬"
132,Martin48451137,@BarbaraSutton15 No they are charged with controlling inflation
133,EricTveit,"@G_Wolf66 @kylegriffin1 @MSNBC Nah, trump won. I have major differences with that party as well. Can’t think of an argument that’s not far left related?
Thanks for admitting the problems are world wide.  Explains why I don’t blame Biden for inflation, gas prices, immigration, or supply chain issues."
134,Th_Spencer1,"RT @CAPAction: The Inflation Reduction Act is paid for by making large corporations pay their fair share of taxes.

""The days of billion do…"
135,Diarraa_d26,RT @srm_tr: Les 100€ de l’inflation ils sont où s’il vous plaît ? Le crous ? L’état ? Allo ?? https://t.co/p0zN4ervOo
136,dearsidneyy,"@alanfics @simpforrickman exactly 😌 with this inflation, we need that morethan ever hehe"
137,scrumpygicker,@vonderleyen More sanctions! Keep driving those energy and food prices up....plenty room for more inflation 🙄 #EIREXIT https://t.co/lJXzeNcfCR
138,Domimon31,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
139,Sedibus_MCML,"RT @MayaguezNY: Oil companies are using the same strategy they used against the Jimmy Carter administration.

They fueled inflation and bla…"
140,dave43law,@EdwardJDavey Need a vote of no confidence and get the Tories who are terrified she is collapsing the country to vote against the Government - the time for action is now before Kwarteng announces 350billion of savings including scrapping pension rises at inflation rate and funding for NHS
141,IamWeUnited,"PLAN CHANGES OR BY DESIGN

Q.E started 

#Money Printer go brrrrr 🚨🚨😂🚀🚀
In #Europe despite #Inflation 

Will the #FED follow MONEY PRINTING TOO!

Inevitable... They won't wait for inflation to come down.

#XRPCommunity #Cryptocurency #Bitcoin #blockchain #assets #CentralBank"
142,doume1952,"RT @BOROWSKIMIKE: On apprend ce jour que le salaire d'Ursula von der Leyen était de 29.205€/mois a été augmenté de 8,5% en juillet pour com…"
143,GAWillStewart,"@MrBlonde_macro @alphaisbeta @conorsen @RickPalaciosJr The question for investors, as MrBlonde pointed out, is focusing on making $. 

We all have our own Strategies. Mine is that in a high inflation period, I won’t make any money on a real basis. Instead I will collect dividends, buy up blue chip value stocks &amp; just wait patiently."
144,MutantPrime,RT @CalltoActivism: THIS NEEDS TO BE EVERYWHERE: Congressional Republicans’ wish to REPEAL the Inflation Reduction Act after the midterms a…
145,AlexReilley1,"RT @nadinebh_: Liz Truss, 25 July 2022, when warned by Rishi Sunak that her plans would make inflation worse and mortgage rates soar and lo…"
146,dspratto,"RT @IAPolls2022: When Biden took office:

Inflation: 1.4% 
Gas: $2.39
30 year Fixed Mortgage: 2.65%
Median asking rent: $1,625
Nasdaq: 13,3…"
